label,slug,source,motion_json,features_npz,quality,duration,frames
lễ Halloween 31/10,le_halloween_31_10,Dataset/Videos/D0048B.mp4,motions/le_halloween_31_10/d0048b.json,features/le_halloween_31_10/d0048b.npz,0.9694,6.373,60
lễ Halloween 31/10,le_halloween_31_10,Dataset/Videos/D0048N.mp4,motions/le_halloween_31_10/d0048n.json,features/le_halloween_31_10/d0048n.npz,0.972,3.8705,60
lễ Halloween 31/10,le_halloween_31_10,Dataset/Videos/D0048T.mp4,motions/le_halloween_31_10/d0048t.json,features/le_halloween_31_10/d0048t.npz,0.966,6.373,60
ngày Phụ nữ Việt Nam 20/10,ngay_phu_nu_viet_nam_20_10,Dataset/Videos/D0049B.mp4,motions/ngay_phu_nu_viet_nam_20_10/d0049b.json,features/ngay_phu_nu_viet_nam_20_10/d0049b.npz,0.9688,3.4701,60
ngày Phụ nữ Việt Nam 20/10,ngay_phu_nu_viet_nam_20_10,Dataset/Videos/D0049N.mp4,motions/ngay_phu_nu_viet_nam_20_10/d0049n.json,features/ngay_phu_nu_viet_nam_20_10/d0049n.npz,0.9809,5.6723,60
ngày Phụ nữ Việt Nam 20/10,ngay_phu_nu_viet_nam_20_10,Dataset/Videos/D0049T.mp4,motions/ngay_phu_nu_viet_nam_20_10/d0049t.json,features/ngay_phu_nu_viet_nam_20_10/d0049t.npz,0.9664,4.8382,60
ngày thương bình liệt sĩ 27/7,ngay_thuong_binh_liet_si_27_7,Dataset/Videos/D0050B.mp4,motions/ngay_thuong_binh_liet_si_27_7/d0050b.json,features/ngay_thuong_binh_liet_si_27_7/d0050b.npz,0.9587,4.2042,60
ngày thương bình liệt sĩ 27/7,ngay_thuong_binh_liet_si_27_7,Dataset/Videos/D0050N.mp4,motions/ngay_thuong_binh_liet_si_27_7/d0050n.json,features/ngay_thuong_binh_liet_si_27_7/d0050n.npz,0.9544,3.8038,60
ngày thương bình liệt sĩ 27/7,ngay_thuong_binh_liet_si_27_7,Dataset/Videos/D0050T.mp4,motions/ngay_thuong_binh_liet_si_27_7/d0050t.json,features/ngay_thuong_binh_liet_si_27_7/d0050t.npz,0.9742,4.2042,60
ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngay_gio_to_hung_vuong_am_lich_10_3,Dataset/Videos/D0051B.mp4,motions/ngay_gio_to_hung_vuong_am_lich_10_3/d0051b.json,features/ngay_gio_to_hung_vuong_am_lich_10_3/d0051b.npz,0.8113,5.1718,60
ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngay_gio_to_hung_vuong_am_lich_10_3,Dataset/Videos/D0051N.mp4,motions/ngay_gio_to_hung_vuong_am_lich_10_3/d0051n.json,features/ngay_gio_to_hung_vuong_am_lich_10_3/d0051n.npz,0.7743,4.8048,60
ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngay_gio_to_hung_vuong_am_lich_10_3,Dataset/Videos/D0051T.mp4,motions/ngay_gio_to_hung_vuong_am_lich_10_3/d0051t.json,features/ngay_gio_to_hung_vuong_am_lich_10_3/d0051t.npz,0.7756,5.1718,60
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,ngay_ngon_ngu_ki_hieu_quoc_te_23_9,Dataset/Videos/D0052B.mp4,motions/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052b.json,features/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052b.npz,0.9362,3.5702,60
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,ngay_ngon_ngu_ki_hieu_quoc_te_23_9,Dataset/Videos/D0052N.mp4,motions/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052n.json,features/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052n.npz,0.9652,4.6713,60
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,ngay_ngon_ngu_ki_hieu_quoc_te_23_9,Dataset/Videos/D0052T.mp4,motions/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052t.json,features/ngay_ngon_ngu_ki_hieu_quoc_te_23_9/d0052t.npz,0.9423,3.5702,60
tuần lễ người Điếc thế giới,tuan_le_nguoi_iec_the_gioi,Dataset/Videos/D0053B.mp4,motions/tuan_le_nguoi_iec_the_gioi/d0053b.json,features/tuan_le_nguoi_iec_the_gioi/d0053b.npz,0.8236,5.8392,60
tuần lễ người Điếc thế giới,tuan_le_nguoi_iec_the_gioi,Dataset/Videos/D0053N.mp4,motions/tuan_le_nguoi_iec_the_gioi/d0053n.json,features/tuan_le_nguoi_iec_the_gioi/d0053n.npz,0.7982,7.0404,60
tuần lễ người Điếc thế giới,tuan_le_nguoi_iec_the_gioi,Dataset/Videos/D0053T.mp4,motions/tuan_le_nguoi_iec_the_gioi/d0053t.json,features/tuan_le_nguoi_iec_the_gioi/d0053t.npz,0.8069,5.8392,60
ngày của Mẹ,ngay_cua_me,Dataset/Videos/D0054B.mp4,motions/ngay_cua_me/d0054b.json,features/ngay_cua_me/d0054b.npz,0.7177,4.5712,60
ngày của Mẹ,ngay_cua_me,Dataset/Videos/D0054N.mp4,motions/ngay_cua_me/d0054n.json,features/ngay_cua_me/d0054n.npz,0.6976,4.8048,60
ngày của Mẹ,ngay_cua_me,Dataset/Videos/D0054T.mp4,motions/ngay_cua_me/d0054t.json,features/ngay_cua_me/d0054t.npz,0.7082,4.5712,60
ngày của Cha,ngay_cua_cha,Dataset/Videos/D0055B.mp4,motions/ngay_cua_cha/d0055b.json,features/ngay_cua_cha/d0055b.npz,0.6401,4.9716,60
ngày của Cha,ngay_cua_cha,Dataset/Videos/D0055N.mp4,motions/ngay_cua_cha/d0055n.json,features/ngay_cua_cha/d0055n.npz,0.6414,4.8382,60
ngày của Cha,ngay_cua_cha,Dataset/Videos/D0055T.mp4,motions/ngay_cua_cha/d0055t.json,features/ngay_cua_cha/d0055t.npz,0.6772,4.9716,60
ngày gia đình Việt Nam 28/6,ngay_gia_inh_viet_nam_28_6,Dataset/Videos/D0056B.mp4,motions/ngay_gia_inh_viet_nam_28_6/d0056b.json,features/ngay_gia_inh_viet_nam_28_6/d0056b.npz,0.7272,5.4054,60
ngày gia đình Việt Nam 28/6,ngay_gia_inh_viet_nam_28_6,Dataset/Videos/D0056N.mp4,motions/ngay_gia_inh_viet_nam_28_6/d0056n.json,features/ngay_gia_inh_viet_nam_28_6/d0056n.npz,0.8792,4.9383,60
ngày gia đình Việt Nam 28/6,ngay_gia_inh_viet_nam_28_6,Dataset/Videos/D0056T.mp4,motions/ngay_gia_inh_viet_nam_28_6/d0056t.json,features/ngay_gia_inh_viet_nam_28_6/d0056t.npz,0.9788,6.64,60
ngày thầy thuốc Việt Nam,ngay_thay_thuoc_viet_nam,Dataset/Videos/D0057B.mp4,motions/ngay_thay_thuoc_viet_nam/d0057b.json,features/ngay_thay_thuoc_viet_nam/d0057b.npz,0.8104,5.2052,60
ngày thầy thuốc Việt Nam,ngay_thay_thuoc_viet_nam,Dataset/Videos/D0057N.mp4,motions/ngay_thay_thuoc_viet_nam/d0057n.json,features/ngay_thay_thuoc_viet_nam/d0057n.npz,0.7601,5.6056,60
ngày thầy thuốc Việt Nam,ngay_thay_thuoc_viet_nam,Dataset/Videos/D0057T.mp4,motions/ngay_thay_thuoc_viet_nam/d0057t.json,features/ngay_thay_thuoc_viet_nam/d0057t.npz,0.7524,5.6056,60
ngày thành lập quân đội nhân dân Việt Nam,ngay_thanh_lap_quan_oi_nhan_dan_viet_nam,Dataset/Videos/D0058B.mp4,motions/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058b.json,features/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058b.npz,0.7833,4.9049,60
ngày thành lập quân đội nhân dân Việt Nam,ngay_thanh_lap_quan_oi_nhan_dan_viet_nam,Dataset/Videos/D0058N.mp4,motions/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058n.json,features/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058n.npz,0.7363,5.3053,60
ngày thành lập quân đội nhân dân Việt Nam,ngay_thanh_lap_quan_oi_nhan_dan_viet_nam,Dataset/Videos/D0058T.mp4,motions/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058t.json,features/ngay_thanh_lap_quan_oi_nhan_dan_viet_nam/d0058t.npz,0.7789,4.9049,60
con cá sấu,con_ca_sau,Dataset/Videos/D0059.mp4,motions/con_ca_sau/d0059.json,features/con_ca_sau/d0059.npz,0.8927,3.5369,60
nhầm,nham,Dataset/Videos/D0060B.mp4,motions/nham/d0060b.json,features/nham/d0060b.npz,0.6787,2.9029,60
nhầm,nham,Dataset/Videos/D0060N.mp4,motions/nham/d0060n.json,features/nham/d0060n.npz,0.5968,3.6036,60
nhầm,nham,Dataset/Videos/D0060T.mp4,motions/nham/d0060t.json,features/nham/d0060t.npz,0.5727,3.6036,60
đồng bằng sông Cửu Long,ong_bang_song_cuu_long,Dataset/Videos/D0061.mp4,motions/ong_bang_song_cuu_long/d0061.json,features/ong_bang_song_cuu_long/d0061.npz,0.6945,5.005,60
đồng bằng sông Hồng,ong_bang_song_hong,Dataset/Videos/D0062.mp4,motions/ong_bang_song_hong/d0062.json,features/ong_bang_song_hong/d0062.npz,0.696,5.1718,60
đồng bằng duyên hải miền Trung,ong_bang_duyen_hai_mien_trung,Dataset/Videos/D0063.mp4,motions/ong_bang_duyen_hai_mien_trung/d0063.json,features/ong_bang_duyen_hai_mien_trung/d0063.npz,0.7061,4.5379,60
buồn thảm,buon_tham,Dataset/Videos/D0064.mp4,motions/buon_tham/d0064.json,features/buon_tham/d0064.npz,0.5625,5.2052,60
mách,mach,Dataset/Videos/D0065B.mp4,motions/mach/d0065b.json,features/mach/d0065b.npz,0.5486,4.2042,60
mách,mach,Dataset/Videos/D0065N.mp4,motions/mach/d0065n.json,features/mach/d0065n.npz,0.5959,3.7037,60
mách,mach,Dataset/Videos/D0065T.mp4,motions/mach/d0065t.json,features/mach/d0065t.npz,0.5637,3.7037,60
vô duyên,vo_duyen,Dataset/Videos/D0066B.mp4,motions/vo_duyen/d0066b.json,features/vo_duyen/d0066b.npz,0.5378,3.637,60
vô duyên,vo_duyen,Dataset/Videos/D0066N.mp4,motions/vo_duyen/d0066n.json,features/vo_duyen/d0066n.npz,0.5625,3.4701,60
vô duyên,vo_duyen,Dataset/Videos/D0066T.mp4,motions/vo_duyen/d0066t.json,features/vo_duyen/d0066t.npz,0.5437,3.4701,60
ti hí mắt,ti_hi_mat,Dataset/Videos/D0067.mp4,motions/ti_hi_mat/d0067.json,features/ti_hi_mat/d0067.npz,0.5962,4.4044,60
kịp thời,kip_thoi,Dataset/Videos/D0068.mp4,motions/kip_thoi/d0068.json,features/kip_thoi/d0068.npz,0.689,3.8705,60
bối rối,boi_roi,Dataset/Videos/D0069.mp4,motions/boi_roi/d0069.json,features/boi_roi/d0069.npz,0.6556,3.9039,60
hú vía,hu_via,Dataset/Videos/D0070.mp4,motions/hu_via/d0070.json,features/hu_via/d0070.npz,0.6692,3.7704,60
suỵt,suyt,Dataset/Videos/D0071.mp4,motions/suyt/d0071.json,features/suyt/d0071.npz,0.5112,4.3043,60
suýt,suyt,Dataset/Videos/D0072B.mp4,motions/suyt/d0072b.json,features/suyt/d0072b.npz,0.5989,3.1365,60
suýt,suyt,Dataset/Videos/D0072N.mp4,motions/suyt/d0072n.json,features/suyt/d0072n.npz,0.623,3.3367,60
suýt,suyt,Dataset/Videos/D0072T.mp4,motions/suyt/d0072t.json,features/suyt/d0072t.npz,0.6295,3.3367,60
cá voi,ca_voi,Dataset/Videos/D0073.mp4,motions/ca_voi/d0073.json,features/ca_voi/d0073.npz,0.6134,4.4044,60
cá kiếm,ca_kiem,Dataset/Videos/D0074.mp4,motions/ca_kiem/d0074.json,features/ca_kiem/d0074.npz,0.6554,5.5389,60
đuôi cá,uoi_ca,Dataset/Videos/D0075.mp4,motions/uoi_ca/d0075.json,features/uoi_ca/d0075.npz,0.6726,4.4711,60
đuôi chuột,uoi_chuot,Dataset/Videos/D0076.mp4,motions/uoi_chuot/d0076.json,features/uoi_chuot/d0076.npz,0.6433,5.4721,60
bít tết (bò),bit_tet_bo,Dataset/Videos/D0077B.mp4,motions/bit_tet_bo/d0077b.json,features/bit_tet_bo/d0077b.npz,0.8127,3.9373,60
bít tết (bò),bit_tet_bo,Dataset/Videos/D0077N.mp4,motions/bit_tet_bo/d0077n.json,features/bit_tet_bo/d0077n.npz,0.714,4.1708,60
bít tết (bò),bit_tet_bo,Dataset/Videos/D0077T.mp4,motions/bit_tet_bo/d0077t.json,features/bit_tet_bo/d0077t.npz,0.7114,4.1708,60
súp,sup,Dataset/Videos/D0078.mp4,motions/sup/d0078.json,features/sup/d0078.npz,0.7296,4.371,60
súp lơ,sup_lo,Dataset/Videos/D0079.mp4,motions/sup_lo/d0079.json,features/sup_lo/d0079.npz,0.7329,3.37,60
mỳ tôm,my_tom,Dataset/Videos/D0080B.mp4,motions/my_tom/d0080b.json,features/my_tom/d0080b.npz,0.7375,3.4701,60
mỳ tôm,my_tom,Dataset/Videos/D0080N.mp4,motions/my_tom/d0080n.json,features/my_tom/d0080n.npz,0.7269,3.1365,60
mỳ tôm,my_tom,Dataset/Videos/D0080T.mp4,motions/my_tom/d0080t.json,features/my_tom/d0080t.npz,0.7269,3.1365,60
mỳ vằn thắn,my_van_than,Dataset/Videos/D0081B.mp4,motions/my_van_than/d0081b.json,features/my_van_than/d0081b.npz,0.7631,3.9373,60
mỳ ý,my_y,Dataset/Videos/D0082B.mp4,motions/my_y/d0082b.json,features/my_y/d0082b.npz,0.8302,3.7037,60
mỳ ý,my_y,Dataset/Videos/D0082N.mp4,motions/my_y/d0082n.json,features/my_y/d0082n.npz,0.9391,3.2032,60
mỳ ý,my_y,Dataset/Videos/D0082T.mp4,motions/my_y/d0082t.json,features/my_y/d0082t.npz,0.8206,3.2032,60
bún mắm,bun_mam,Dataset/Videos/D0083.mp4,motions/bun_mam/d0083.json,features/bun_mam/d0083.npz,0.6814,4.9716,60
bún chả,bun_cha,Dataset/Videos/D0084.mp4,motions/bun_cha/d0084.json,features/bun_cha/d0084.npz,0.623,4.6046,60
